TITULO,URL,NIVEL_ACESS,TOTAL_ERRO,TOTAL_AVISO,ERRO_MARCACAO,AVISO_MARCACAO,ERRO_COMPORTAMENTO,AVISO_COMPORTAMENTO,ERRO_CONT_INFO,AVISO_CONT_INFO,ERRO_APRESENT,AVISO_APRESENT,ERRO_MULTI,AVISO_MULTI,ERRO_FORM,AVISO_FORM
Estatísticas | Tribunal Regional do Trabalho da 12ª Região,https://portal.trt12.jus.br/ouvidoria-estatistica,93.95%,17,63,,"1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
1.6 Não utilizar tabelas para diagramação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
3.10 Associar células de dados às células de cabeçalho.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
3.9 Em tabelas, utilizar títulos e resumos de forma apropriada. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
Perícias | Tribunal Regional do Trabalho da 12ª Região,https://portal.trt12.jus.br/pericias,99.85%,5,70,,"1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
Sala de Imprensa | Tribunal Regional do Trabalho da 12ª Região,https://portal.trt12.jus.br/secominicio,95.97%,19,56,"1.2 Organizar o código HTML de forma lógica e semântica.(link para um novo sítio)
","1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
Saiba como entrar em contato com as unidades do Tribunal | Tribunal Regional do Trabalho da 12ª Região,https://portal.trt12.jus.br/noticias/contatos-das-unidades-judiciarias,99.87%,4,45,,"1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
APRESENTAÇÃO | Tribunal Regional do Trabalho da 12ª Região,https://portal.trt12.jus.br/institucional/memoria/apresenta%C3%A7%C3%A3o,99.84%,5,48,,"1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
"Calendário Institucional - Feriados que suspendem prazos processuais, conforme abrangência. | Tribunal Regional do Trabalho da 12ª Região",https://portal.trt12.jus.br/calendario-institucional,96.72%,4,45,"1.2 Organizar o código HTML de forma lógica e semântica.(link para um novo sítio)
","1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
Desembargadores | Tribunal Regional do Trabalho da 12ª Região,https://portal.trt12.jus.br/desembargadores,,,,,,,,,,,,,,,
Estrutura Organizacional e Atribuições | Tribunal Regional do Trabalho da 12ª Região,https://portal.trt12.jus.br/estruturaorganizacional,99.85%,3,40,,"1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
SEGJUD - Composição da Comissão de Regimento Interno | Tribunal Regional do Trabalho da 12ª Região,https://portal.trt12.jus.br/segjud/comissao/regimento/interno/composicao,95.59%,37,42,"1.3 Utilizar corretamente os níveis de cabeçalho.(link para um novo sítio)
","1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
1.6 Não utilizar tabelas para diagramação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
3.9 Em tabelas, utilizar títulos e resumos de forma apropriada. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
"Publicações dos atos no DEJT facilitou adesão ao Juízo 100% Digital, afirma advogado | Tribunal Regional do Trabalho da 12ª Região",https://portal.trt12.jus.br/node/13867,96.08%,25,49,"1.2 Organizar o código HTML de forma lógica e semântica.(link para um novo sítio)
1.7 Separar links adjacentes.(link para um novo sítio)
","1.1 Respeitar os Padrões Web. (link para um novo sítio)
1.2 Organizar o código HTML de forma lógica e semântica. (link para um novo sítio)
1.4 Ordenar de forma lógica e intuitiva a leitura e tabulação. (link para um novo sítio)
","2.1 Disponibilizar todas as funções da página via teclado.(link para um novo sítio)
","2.2 Garantir que os objetos programáveis sejam acessíveis. (link para um novo sítio)
","3.5 Descrever links clara e sucintamente.(link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio.(link para um novo sítio)
","3.5 Descrever links clara e sucintamente. (link para um novo sítio)
3.6 Fornecer alternativa em texto para as imagens do sítio. (link para um novo sítio)
",,"
",,"
",,"6.7 Agrupar campos de formulário. (link para um novo sítio)
"
